Date,Islamic Date,Blast Day Type,Holiday Type,City,Province,Target Type,Killed Max,Injured Max,No. of Suicide Blasts,Explosive Weight (max),VicTams
Thursday-November 29-2012,nan,Working Day,nan,South Waziristan,FATA,Anti-Militants,8,18,1,2,26
Tuesday-December 4-2012,nan,Working Day,nan,Peshawar,KPK,Police,6,10,1,1.5,16
Wednesday-December 5-2012,nan,Working Day,nan,South waziristan,FATA,Military,3,25,1,2.5,28
Saturday-December 22-2012,nan,Holiday,Weekend,Peshawar,KPK,Government Official,9,20,1,2.5,29
Thursday-January 10-2013,nan,Working Day,nan,Quetta,Baluchistan,Civilian,93,121,2,9,214
Friday-February 1-2013,nan,Working Day,nan,Hangu,KPK,Civilian,27,50,1,6.5,77
Thursday-February 14-2013,nan,Working Day,nan,Hangu,KPK,Military,0,23,1,2,23
Thursday-February 14-2013,nan,Working Day,nan,Bannu,KPK,Police,40,56,4,2,96
Saturday-February 16-2013,nan,Working Day,Weekend,Quetta,Baluchistan,Civilian,84,200,1,25,284
Monday-February 18-2013,nan,Working Day,nan,Peshawar,KPK,Government Official,41,72,2,4.5,113
Monday-March 18-2013,nan,Working Day,nan,Peshawar,KPK,Government Official,4,47,2,4.5,51
Saturday-March 23-2013,nan,Holiday,Pakistan Day,North waziristan,FATA,Military,22,35,1,5,57
Friday-March 29-2013,nan,Working Day,nan,Peshawar,KPK,Military,12,35,1,4,47
Tuesday-April 16-2013,nan,Working Day,nan,Peshawar,KPK,Civilian,18,60,1,6.5,78
Tuesday-April 16-2013,nan,Working Day,nan,North waziristan,FATA,Military,9,18,1,2.5,27
Saturday-April 20-2013,nan,Working Day,nan,Bajaur Agency,FATA,Civilian,4,4,1,1,8
Tuesday-April 23-2013,nan,Working Day,nan,Quetta,Baluchistan,Civilian,6,40,1,4,46
Monday-April 29-2013,nan,Working Day,nan,Peshawar,KPK,civilian,10,45,1,4.5,55
Wednesday-May 1-2013,nan,Holiday,Labour Day,Shikarpur,Sindh,civilian,1,2,1,0.5,3
Tuesday-May 7-2013,nan,Working Day,nan,Hangu,KPK,Civilian,12,40,1,4.5,52
Wednesday-May 8-2013,nan,Working Day,nan,Bannu,KPK,Police,3,27,1,2.5,30
Saturday-May 11-2013,nan,Holiday,General Elections,Karachi,Sindh,Military,2,5,1,1,7
Sunday-May 12-2013,nan,Holiday,Weekend,Quetta,Baluchistan,Police,7,68,1,6.5,75
Friday-May 24-2013,nan,Working Day,nan,Peshawar,KPK,religious,3,2,1,1,5
Monday-June 3-2013,nan,Working Day,nan,North waziristan,FATA,Military,0,2,1,0.5,2
Saturday-June 15-2013,nan,Working Day,nan,Quetta,Baluchistan,civilian,14,19,1,3,33
Saturday-June 15-2013,nan,Working Day,nan,Quetta,Baluchistan,Police,11,0,1,1,11
Tuesday-June 18-2013,nan,Working Day,nan,Mardan,KPK,civilian,34,60,1,9,94
Friday-June 21-2013,nan,Working Day,nan,Peshawar,KPK,Civilian,15,30,1,4,45
Sunday-June 30-2013,nan,Holiday,Weekend,Quetta,Baluchistan,Civilian,30,70,1,8.5,100
Monday-July 8-2013,nan,Working Day,nan,Hangu,KPK,Civilian,8,10,1,1.5,18
Thursday-July 25-2013,nan,Working Day,nan,Sukkur,Sindh,Military,9,30,2,1,39
Friday-July 26-2013,nan,Working Day,nan,Kuram Agency ,KPK,Civilian,50,200,2,10,250
Thursday-August 8-2013,nan,Holiday,Eid Holidays,Quetta,Baluchistan,Police,38,60,1,8,98
Sunday-September 22-2013,nan,Holiday,nan,Peshawar,KPK,Civilian,81,145,2,10,226
Wednesday-October 2-2013,nan,Working Day,nan,Chaman,Baluchistan,Government Official,8,16,1,3,24
Thursday-October 3-2013,nan,Working Day,nan,Hangu,KPK,Anti-Militants,17,22,1,3.5,39
Friday-October 11-2013,nan,Working Day,nan,South waziristan,FATA,Military,2,2,1,0.5,4
Wednesday-October 16-2013,nan,Holiday,Eid Holidays,D. I Khan,KPK,Civilian,9,30,1,0.5,39
Saturday-November 16-2013,nan,Holiday,Weekend,Bannu,KPK,Military,0,7,1,1,7
Tuesday-November 19-2013,nan,Working Day,nan,North waziristan,FATA,Anti-Militants,7,1,1,1,8
Friday-November 22-2013,nan,Working Day,nan,Khyber Agency,KPK,Government Official,0,26,1,2,26
Tuesday-December 17-2013,nan,Working Day,nan,Rawalpindi,Punjab,Civilian,3,7,1,1,10
Wednesday-December 18-2013,nan,Working Day,nan,North waziristan,FATA,Military,5,34,1,3.5,39
Friday-December 20-2013,nan,Working Day,nan,Karachi,Sindh,Police,2,21,1,2,23
Wednesday-January 1-2014,nan,Working Day,nan,Quetta,Baluchistan,Civilian,3,31,1,3,34
Monday-January 6-2014,nan,Working Day,nan,Hangu,KPK,Civilian,2,2,1,0.5,4
Thursday-January 9-2014,nan,Working Day,nan,Karachi,Sindh,Police,3,11,1,1.5,14
Monday-January 20-2014,nan,Working Day,nan,Rawalpindi,Punjab,Military,13,15,1,2.5,28
Thursday-January 23-2014,nan,nan,nan,Peshawar,KPK,nan,6,8,1,1,14
Wednesday-January 29-2014,nan,Working Day,nan,Karachi,Sindh,Military,3,1,1,0.5,4
Tuesday-February 4-2014,nan,Working Day,nan,Peshawar,KPK,Civilian,9,50,1,12,59
Friday-February 7-2014,nan,Working Day,nan,Khanewal,Punjab,Police,0,5,1,1,5
Monday-February 10-2014,nan,Working Day,nan,Peshawar,KPK,Civilian,4,3,1,1,7
Thursday-February 13-2014,nan,Working Day,nan,Karachi,Sindh,Police,13,47,1,5,60
Monday-February 24-2014,nan,Working Day,nan,Peshawar,KPK,Military,3,10,1,1,13
Monday-March 3-2014,nan,Working Day,nan,Islamabad,Capital,Government Official,11,29,1,3.5,40
Friday-March 14-2014,nan,Working Day,nan,Peshawar,KPK,Police,11,45,1,5,56
Thursday-April 24-2014,nan,Working Day,nan,Karachi,Sindh,Police,4,15,1,1.5,19
Sunday-May 11-2014,nan,Holiday,nan,Peshawar,KPK,Civilian,5,11,1,1.5,16
Wednesday-June 4-2014,nan,Working Day,nan,Fateh Jang,Punjab,Military,5,5,1,1,10
Sunday-June 8-2014,nan,Holiday,nan,Taftan,Baluchistan,Civilian,30,16,1,4,46
Monday-June 9-2014,nan,Working Day,nan,Karachi,Sindh,nan,28,24,1,4.5,52
Thursday-June 19-2014,nan,Working Day,nan,Peshawar,KPK,Civilian,2,5,1,1,7
Tuesday-June 24-2014,nan,Working Day,nan,North waziristan,FATA,Military,3,1,1,0.5,4
Wednesday-September 24-2014,nan,Working Day,nan,Peshawar,KPK,Military,5,29,1,3,34
Saturday-October 04-2014,nan,Working Day,nan,Quetta,Baluchistan,Civilian,5,12,1,1.5,17
Wednesday-October 15-2014,nan,nan,nan,Tirah Valley,FATA,nan,7,5,1,1,12
Thursday-October 23-2014,nan,Working Day,nan,Quetta,Baluchistan,Civilian,3,20,1,2,23
Sunday-November 02-2014,nan,Holiday,Weekend,Wagah,Punjab,Civilian,55,120,1,15,175
Tuesday-December 16-2014,nan,nan,nan,Peshawar,KPK,nan,148,132,1,24,280
Sunday-December 28-2014,nan,nan,nan,Zhob,Balochistan,nan,2,0,1,0.5,2
Friday-January 30-2015,nan,nan,nan,Shikarpur,Sindh,nan,62,39,1,8.5,101
Friday-February 13-2015,nan,nan,nan,Peshawar,KPK,nan,21,60,1,7,81
Tuesday-February 17-2015,nan,nan,nan,Lahore,Punjab,nan,9,0,1,1,9
Wednesday-February 18-2015,nan,nan,nan,Rawalpindi,Punjab,nan,5,6,1,1,11
Sunday-March 15-2015,nan,nan,nan,Lahore,Punjab,nan,17,72,1,7,89
Friday-March 20-2015,nan,nan,nan,Karachi,Sindh,nan,3,0,1,0.5,3
Wednesday-May 6-2015,nan,Working Day,nan,KURRAM AGENCY,FATA,nan,3,3,1,1,6
Tuesday-May 26-2015,nan,Working Day,nan,Karachi,Sindh,Rangers,2,0,1,0.5,2
Tuesday-May 26-2015,nan,Working Day,nan,Karachi,Sindh,nan,5,0,1,0.5,5
Friday-May 29-2015,nan,Working Day,nan,Lahore,Punjab,nan,2,6,1,1,8
Saturday-June 06-2015,nan,Weekend,nan,Sargodha,Punjab,nan,2,6,1,1,8
Monday-June 08-2015,nan,Working Day,nan,North waziristan,FATA,nan,19,0,1,1.5,19
Thursday-June 11-2015,nan,Working Day,nan,Peshawar,KPK,nan,2,7,1,1,9
Monday-June 29-2015,nan,Working Day,nan,Lahore,Punjab,nan,4,0,1,0.5,4
Friday-July 17-2015,nan,Holiday,nan,Quetta,Balochistan,nan,1,0,1,0.5,1
Sunday-Aug 16-2015,nan,Holiday,nan,ATTOCK,Punjab,nan,19,25,1,4,44
Thursday-Aug 27-2015,nan,Working Day,nan,MULTAN,Punjab,nan,4,2,1,1,6
Tuesday-Sep 01-2015,nan,Working Day,nan,Khyber Agency,KPK,nan,6,56,1,5,62
Sunday-Sep 20-2015,nan,Holiday,nan,Karachi,Sindh,Police & Rangers,54,31,1,7,85
Wednesday-Oct 14-2015,nan,Working Day,nan,Taunsa,Punjab,nan,0,20,1,1.5,20
Thursday-Oct-22-2015,nan,Holiday,Ashura Holiday,Quetta,Balochistan,Religious,11,15,1,2,26
Friday-Oct-23-2015,nan,Holiday,Ashura Holiday,Jacobabad,Sindh,Religious,23,40,1,5.5,63
Tuesday-Dec-29-2015,nan,Working Day,nan,Mardan,KPK,Civilian,26,56,1,7,82
Wednesday-Jan 13-2016,nan,Working Day,nan,Quetta,Balochistan,Civilian & Police,15,36,1,4.5,51
Tuesday-Jan 19-2016,nan,Working Day,nan,Peshawar,KPK,nan,12,25,1,2.5,37
Friday-Jan 29-2016,nan,Working Day,nan,Zhob,Balochistan,Army,0,6,1,1,6
Saturday-Feb 06-2016,nan,Working Day,nan,Quetta,Balochistan,Frontier Corps ,11,35,1,4,46
Saturday-Mar 07-2016,nan,Working Day,nan,Shabqadar-Charsadda,KPK,nan,20,31,1,4.5,51
Sunday-Mar 27-2016,nan,Holiday,nan,Lahore,Punjab,nan,72,300,1,31,372
Saturday-Apr 16-2016,8 Rajab 1437 A.H.,Working Day,nan,Khyber Agency,FATA,Civilian,2,0,1,0.5,2
Tuesday-Apr 19-2016,10 Rajab 1437 A.H.,Working Day,nan,Mardan,KPK,Government Official,1,18,1,1.5,19
Monday-May 30-2016,22 Shaban 1437 A.H.,Working Day,nan,Mardan,KPK,Police,1,15,1,1.5,16
Monday-Aug 08-2016,05 Zeqad 1437 A.H.,Working Day,nan,Quetta,Balochistan,advocates (lawyers),70,120,1,16,190
