Date,Islamic Date,Blast Day Type,Holiday Type,City,Province,Target Type,Killed Max,Injured Max,No. of Suicide Blasts,Explosive Weight (max),VicTams
Thursday-December 24-2009,7 MuHarram 1431 A.H,Working Day,nan,Islamabad,Capital,Religious,1,4,1,1,5
Monday-December 28-2009,11 MuHarram 1431 A.H,Holiday,Ashura,Muzaffarabad,AJK,Religious,15,100,1,10,115
Friday-January 1-2010,15 MuHarram 1431 A.H,Working Day,nan,Lakki marwat,KPK,Civilian,100,100,1,17,200
Wednesday-January 6-2010,20 MuHarram 1431 A.H,Working Day,nan,Sudhanoti,AJK,Military,4,12,1,1.5,16
Friday-January 8-2010,22 MuHarram 1431 A.H,Working Day,nan,Khyber Agency ,KPK,Religious,8,11,1,2,19
Friday-January 8-2010,22 MuHarram 1431 A.H,Working Day,nan,peshawar,KPK,Police,0,6,1,1,6
Saturday-January 16-2010,30 MuHarram 1431 A.H,Working Day,nan,Poonch,AJK,Police,1,2,1,1,3
Saturday-January 23-2010,8 safar 1431 A.H,Working Day,nan,Tank,KPK,Police,5,11,1,1.5,16
Friday-January 29-2010,14 safar 1431 A.H,Working Day,nan,Bajaur Agency,FATA,Military,17,47,1,5.5,64
Wednesday-February 10-2010,26 safar 1431 A.H,Working Day,nan,Khyber Agency,KPK,Military,22,11,1,3,33
Thursday-February 11-2010,27 safar 1431 A.H,Working Day,nan,Bannu,KPK,Police,15,30,2,3.5,45
Thursday-February 18-2010,4 Raby` al-awal 1431 A.H,Working Day,nan,Khyber Agency,KPK,Anti-Militants,31,110,1,12,141
Saturday-February 20-2010,6 Raby` al-awal 1431 A.H,Working Day,nan,Mansehra,KPK,Police,1,10,2,1,11
Monday-February 22-2010,8 Raby` al-awal 1431 A.H,Working Day,nan,Swat,KPK,Military,13,41,1,4.5,54
Saturday-February 27-2010,13 Raby` al-awal 1431 A.H,Holiday,Eid Milad un-Nabi,Karak,KPK,Police,4,24,2,3,28
Friday-March 5-2010,19 Raby` al-awal 1431 A.H,Working Day,nan,Hangu,KPK,Civilian,14,35,1,4,49
Monday-March 8-2010,22 Raby` al-awal 1431 A.H,Working Day,nan,Lahore ,Punjab,Military,14,100,1,10,114
Friday-March 12-2010,26 Raby` al-awal 1431 A.H,Working Day,nan,Lahore ,Punjab,Military,57,100,2,13,157
Saturday-March 13-2010,27 Raby` al-awal 1431 A.H,Working Day,nan,Swat,KPK,Police,17,60,1,6.5,77
Monday-March 29-2010,13 Raby` al-THaany 1431 A.H.,Working Day,nan,Tank,KPK,Anti-Militants,2,2,1,1,4
Monday-March 29-2010,13 Raby` al-THaany 1431 A.H.,Working Day,nan,Bajaur Agency,FATA,Anti-Militants,2,8,1,1,10
Monday-April 5-2010,20 Raby` al-THaany 1431 A.H.,Working Day,nan,Peshawar,KPK,foreigner,8,0,1,1,8
Monday-April 5-2010,20 Raby` al-THaany 1431 A.H.,Working Day,nan,Lower Dir,KPK,Government Official,56,120,3,6,176
Friday-April 16-2010,2 Jumaada al-awal 1431 A.H,Working Day,nan,Quetta,Baluchistan,Government Official,11,40,1,4.5,51
Saturday-April 17-2010,3 Jumaada al-awal 1431 A.H,Working Day,nan,Kohat,KPK,Civilian,44,70,2,10,114
Sunday-April 18-2010,4 Jumaada al-awal 1431 A.H,Holiday,Weekend,Kohat,KPK,Police,7,32,1,3,39
Monday-April 19-2010,5 Jumaada al-awal 1431 A.H,Working Day,nan,Peshawar,KPK,Anti-Militants,24,49,1,6,73
